name,boy,girl
John,5.299584999999998,0.020775000000000002
James,4.5749910000000025,0.018858999999999994
William,4.409452999999999,0.015104
Robert,3.8216619999999994,0.015059000000000006
Charles,2.518147000000001,0.010477999999999996
Michael,2.366102000000001,0.010835000000000003
Joseph,2.292487000000001,0.007305999999999999
David,2.1590180000000005,0.0066510000000000015
George,2.096747,0.010546
Thomas,1.9012669999999994,0.004881
Richard,1.8296250000000005,0.004861000000000001
Edward,1.4278909999999996,0.0025780000000000004
Frank,1.3398409999999996,0.004724
Daniel,1.0987319999999998,0.0022
Paul,1.0735929999999998,0.0017389999999999999
Donald,1.034592,0.0020590000000000005
Christopher,1.0294560000000004,0.004088
Henry,0.9590939999999998,0.004603
Walter,0.90572,0.002561
Kenneth,0.8346179999999996,0.0008240000000000001
Anthony,0.8146859999999998,0.002088
Matthew,0.7970079999999999,0.0018480000000000003
Harry,0.7949500000000004,0.001071
Andrew,0.785335,0.000783
Arthur,0.7539980000000003,0.001517
Mark,0.7114669999999995,0.00091
Raymond,0.7102080000000003,0.000545
Albert,0.6970360000000003,0.000822
Ronald,0.663841,0.000563
Steven,0.6601960000000001,0.00033800000000000003
Brian,0.605216,0.001304
Harold,0.6013349999999997,0.0009870000000000002
Fred,0.5890559999999998,0.001374
Samuel,0.5798730000000002,0.0
Kevin,0.5732089999999999,0.0008950000000000001
Joshua,0.5653449999999999,0.001601
Timothy,0.5606679999999998,0.00035900000000000005
Jack,0.5605179999999997,0.000952
Jason,0.542213,0.0023539999999999998
Carl,0.5290100000000001,0.000489
Stephen,0.5114720000000001,0.0
Joe,0.5081410000000005,0.009856000000000002
Gary,0.505097,0.000191
Jeffrey,0.502547,0.00020899999999999998
Clarence,0.49559299999999984,0.000176
Louis,0.49287899999999973,0.001364
Roy,0.490522,0.000518
Larry,0.48259700000000005,0.0008290000000000001
Ralph,0.469357,9.9e-05
Nicholas,0.45653999999999995,0.000254
Eric,0.45147899999999996,0.001244
Jacob,0.4506190000000001,0.0
Benjamin,0.44809499999999997,0.0
Peter,0.4411140000000002,0.0
Ryan,0.42766599999999994,0.009200999999999999
Lawrence,0.4202509999999999,0.0
Scott,0.41327999999999976,0.00014399999999999998
Jerry,0.4096080000000001,0.011782999999999993
Patrick,0.40588499999999983,0.0
Howard,0.40310500000000005,8.9e-05
Ernest,0.39850199999999997,0.00015500000000000003
Earl,0.39153,0.000988
Jonathan,0.391095,0.0007530000000000001
Eugene,0.3900620000000001,0.00078
Justin,0.3732499999999999,0.001116
Dennis,0.372261,4.7e-05
Gregory,0.36655099999999985,0.0
Jesse,0.354253,0.005438
Brandon,0.351125,0.000998
Douglas,0.32967200000000013,0.0
Francis,0.32949299999999987,0.032006
Gerald,0.328011,0.00018500000000000002
Alexander,0.324048,0.0008280000000000002
Alfred,0.31008,4e-05
Herbert,0.30866999999999983,0.0
Jose,0.2994639999999999,0.0
Aaron,0.29229200000000005,0.0008049999999999999
Leonard,0.2904619999999999,0.0
Adam,0.289183,0.0
Russell,0.28903399999999996,0.0
Roger,0.28594800000000026,0.0
Charlie,0.28208399999999995,0.008264
Stanley,0.27294499999999994,0.0
Frederick,0.272918,0.0
Nathan,0.271728,0.0
Philip,0.26345,0.0
Billy,0.26249499999999987,0.0021980000000000003
Martin,0.261413,0.0
Tyler,0.25424499999999994,0.006903999999999999
Edwin,0.23891900000000002,0.0
Norman,0.23889099999999994,4.8e-05
Keith,0.23882100000000006,0.0
Wayne,0.238291,0.0
Oscar,0.23632999999999998,0.0
Zachary,0.23609600000000003,0.0
Bruce,0.232084,0.0
Elmer,0.23132399999999997,0.0008579999999999999
Theodore,0.2292989999999998,0.0
Kyle,0.228806,0.002808
Leo,0.22218999999999997,0.0015329999999999994
Ray,0.2210100000000002,0.0067259999999999985
Jeremy,0.2196339999999999,8.5e-05
Victor,0.218359,0.0
Vincent,0.21550500000000006,0.0
Leroy,0.21356499999999998,0.0
Allen,0.212876,0.0
Melvin,0.21265700000000007,5.1e-05
Sam,0.2121829999999999,0.0
Bernard,0.2065339999999999,0.0
Marvin,0.20619899999999994,0.0
Herman,0.205493,0.0
Floyd,0.20483600000000007,0.000166
Sean,0.203953,0.0
Bobby,0.20284399999999997,0.004766
Lewis,0.20111899999999994,0.0
Clifford,0.196917,0.001497
Phillip,0.195531,0.0
Clyde,0.19301999999999994,0.0074329999999999995
Glenn,0.192266,0.000762
Austin,0.191477,0.00021099999999999998
Eddie,0.18909100000000004,0.016762000000000003
Johnny,0.18878000000000006,0.000154
Bryan,0.18803399999999998,0.0
Alan,0.184246,0.0
Dale,0.18167899999999995,0.012434999999999998
Juan,0.17974000000000004,0.0
Curtis,0.17791099999999999,0.0
Lloyd,0.1762289999999999,0.0
Jimmy,0.17445000000000005,4.8e-05
Christian,0.174223,0.008930999999999998
Tom,0.169354,5e-05
Chester,0.16858299999999998,4e-05
Jim,0.16748899999999997,0.0
Alex,0.16594899999999993,0.00261
Lester,0.16357399999999997,0.000148
Edgar,0.16320400000000002,5.1e-05
Randy,0.16295699999999996,0.001645
Leon,0.1622540000000001,0.0
Steve,0.15878599999999995,0.0
Warren,0.157693,0.0
Craig,0.15734099999999998,0.0
Harvey,0.15633099999999991,0.0
Travis,0.15585499999999997,0.0
Tony,0.154034,0.0
Alvin,0.15257199999999993,0.0
Bradley,0.151909,0.0
Claude,0.15068699999999993,0.0007400000000000001
Danny,0.14899499999999993,0.0
Todd,0.14894599999999997,0.0
Isaac,0.144635,0.0
Wesley,0.14392299999999994,0.0
Joel,0.14208899999999997,0.0
Carlos,0.14131699999999997,0.0
Nathaniel,0.14127900000000002,0.0
Calvin,0.14122099999999999,0.0
Mike,0.1396269999999999,0.0
Rodney,0.138778,0.0
Vernon,0.137906,0.00046
Will,0.137696,0.00019
Milton,0.1348329999999999,0.0
Bill,0.134185,0.0
Gordon,0.133819,0.0
Manuel,0.13195599999999996,0.0
Antonio,0.13144,0.0
Cody,0.13059600000000002,0.0014160000000000002
Dylan,0.130252,0.0018460000000000002
Ben,0.13018699999999991,0.0
Chad,0.129824,0.0
Don,0.12917700000000001,0.0
Ethan,0.128248,0.0
Jay,0.127824,0.0
Gabriel,0.123862,0.00169
Noah,0.12283700000000002,0.0
Luis,0.122769,0.0
Troy,0.11999800000000005,5.7e-05
Maurice,0.11999200000000002,0.000664
Gilbert,0.11963900000000009,0.0
Marcus,0.11951000000000002,0.0
Jerome,0.11766199999999999,0.0
Jeffery,0.11667499999999997,0.0
Franklin,0.11632299999999997,0.0
Hugh,0.11212000000000004,0.0
Luther,0.11156400000000001,0.0
Tommy,0.110452,0.0
Guy,0.11003800000000002,0.0
Derek,0.10914399999999998,0.0
Jesus,0.10862200000000001,0.0
Ricky,0.10823200000000001,0.0
Homer,0.10811699999999999,0.0
Everett,0.10785700000000002,0.0
Randall,0.10619199999999995,0.0
Max,0.10357800000000003,0.0
Glen,0.10339,0.0
Cameron,0.10269299999999998,0.009992
Evan,0.10248899999999998,0.0
Oliver,0.10244499999999995,0.0
Logan,0.101786,0.00842
Dustin,0.10178100000000002,0.0
Dean,0.10168000000000002,0.000826
Ronnie,0.09984000000000004,0.002217
